자치구,동,합계,주거,주거,주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,비주거,"운송(차량, 철도 등)",임야,기타
자치구,동,합계,단독주택,공동주택,기타주택,학교,일반업무,판매시설,숙박시설,종교시설,의료시설,공장 및 창고,작업장,위락오락시설,음식점,일반서비스시설,기타,"운송(차량, 철도 등)",임야,기타
합계,합계,"5,921","1,019","1,372",31,35,400,198,37,32,30,84,130,81,642,279,277,436,70,768
종로구,소계,260,51,35,2,2,15,17,1,2,2,2,8,3,35,9,11,14,1,50
종로구,사직동,18,1,1,-,-,2,1,-,-,-,-,-,-,6,-,1,4,-,2
종로구,삼청동,4,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,1
종로구,부암동,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
종로구,평창동,17,7,-,-,-,1,1,-,1,-,-,1,-,1,-,1,2,1,1
종로구,무악동,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
종로구,교남동,8,1,2,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,2
종로구,가회동,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
종로구,종로1.2.3.4가동,69,4,2,-,-,5,7,1,1,1,-,2,3,11,4,7,3,-,18
종로구,종로5·6가동,13,1,1,1,-,-,1,-,-,-,-,1,-,5,-,-,-,-,3
종로구,이화동,17,3,5,-,-,-,-,-,-,1,-,1,-,2,1,2,-,-,2
종로구,창신1동,16,1,3,-,-,1,2,-,-,-,-,1,-,4,-,-,-,-,4
종로구,창신2동,17,6,5,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,4
종로구,창신3동,6,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
종로구,숭인1동,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
종로구,숭인2동,23,2,3,1,-,3,3,-,-,-,1,2,-,1,2,-,1,-,4
종로구,청운효자동,17,6,4,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,4
종로구,혜화동,15,5,1,-,-,2,1,-,-,-,-,-,-,3,-,-,1,-,2
중구,소계,237,20,34,5,1,39,6,4,-,2,4,20,7,22,11,12,12,1,37
중구,소공동,8,-,-,-,-,1,-,1,-,-,-,-,2,1,-,-,2,-,1
중구,회현동,19,-,1,-,-,6,-,1,-,1,-,1,-,1,2,1,1,-,4
중구,명동,21,-,-,-,-,5,1,-,-,-,-,-,-,3,2,3,2,-,5
중구,필동,21,-,1,-,-,4,-,1,-,-,1,3,-,6,-,2,1,-,2
중구,장충동,3,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
중구,광희동,33,1,1,1,-,4,3,-,-,1,1,4,3,3,1,3,-,-,7
중구,을지로동,15,-,-,-,-,4,1,-,-,-,-,6,-,-,1,-,-,-,3
중구,신당5동,10,3,-,-,-,2,-,-,-,-,1,-,1,-,1,-,-,-,2
중구,황학동,16,5,3,-,-,2,-,-,-,-,-,1,-,2,2,1,-,-,-
중구,중림동,14,5,1,2,-,1,-,-,-,-,-,-,-,2,-,-,1,-,2
중구,신당동,20,2,2,-,1,3,-,-,-,-,1,-,1,-,1,2,3,1,3
중구,다산동,12,2,4,-,-,2,-,1,-,-,-,1,-,-,1,-,-,-,1
중구,약수동,10,-,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
중구,청구동,16,1,3,1,-,1,1,-,-,-,-,2,-,1,-,-,2,-,4
중구,동화동,19,1,9,-,-,3,-,-,-,-,-,2,-,2,-,-,-,-,2
용산구,소계,187,37,35,-,1,4,11,2,-,-,1,2,-,25,9,6,13,3,38
용산구,후암동,8,2,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1,-,2
용산구,용산2가동,8,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
용산구,남영동,14,1,-,-,-,2,-,-,-,-,-,1,-,2,-,3,-,1,4
용산구,원효로2동,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
용산구,효창동,9,2,3,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2
용산구,용문동,4,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
용산구,이촌1동,14,-,10,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2
용산구,이촌2동,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
용산구,이태원1동,25,3,3,-,-,-,2,1,-,-,-,-,-,10,1,-,1,-,4
용산구,이태원2동,12,2,1,-,-,1,1,-,-,-,-,-,-,4,1,-,-,-,2
용산구,서빙고동,6,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2
용산구,보광동,15,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5
용산구,청파동,17,10,2,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,2
용산구,원효로1동,12,1,2,-,-,-,2,-,-,-,-,-,-,-,1,-,1,-,5
용산구,한강로동,16,1,1,-,-,1,1,1,-,-,1,-,-,2,1,1,1,-,5
용산구,한남동,22,2,5,-,-,-,2,-,-,-,-,1,-,4,2,-,4,-,2
성동구,소계,197,40,33,1,1,4,6,1,1,-,12,16,2,15,11,13,15,-,26
성동구,왕십리2동,8,1,2,-,-,2,-,-,1,-,-,-,-,-,2,-,-,-,-
성동구,마장동,20,3,5,-,-,-,3,-,-,-,-,-,-,2,2,2,2,-,1
성동구,사근동,11,4,-,-,-,-,1,-,-,-,-,-,-,2,-,-,1,-,3
성동구,행당1동,12,2,3,-,-,-,1,-,-,-,-,-,-,4,-,1,1,-,-
성동구,행당2동,7,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
성동구,응봉동,6,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
성동구,금호1가동,9,2,2,-,-,-,-,1,-,-,-,1,-,-,-,1,1,-,1
성동구,금호4가동,5,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1
성동구,성수1가1동,16,4,3,-,1,1,-,-,-,-,2,2,-,-,-,1,1,-,1
성동구,성수1가2동,13,3,-,-,-,-,-,-,-,-,1,2,1,-,-,-,2,-,4
성동구,성수2가1동,13,5,1,-,-,-,1,-,-,-,1,1,-,1,-,1,2,-,-
성동구,성수2가3동,23,-,2,-,-,1,-,-,-,-,7,8,-,-,1,3,-,-,1
성동구,송정동,15,4,1,-,-,-,-,-,-,-,1,-,1,-,1,-,2,-,5
성동구,용답동,14,4,-,-,-,-,-,-,-,-,-,2,-,2,-,3,-,-,3
성동구,왕십리도선동,9,1,1,1,-,-,-,-,-,-,-,-,-,2,-,-,1,-,3
성동구,금호2.3가동,6,1,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1
성동구,옥수동,10,2,4,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-
광진구,소계,241,87,35,1,2,4,7,1,-,2,1,3,1,31,31,10,11,1,13
광진구,화양동,37,10,1,-,1,-,1,-,-,1,-,-,1,14,7,-,-,-,1
광진구,군자동,22,10,4,-,1,1,1,-,-,-,-,-,-,1,2,-,-,-,2
광진구,중곡1동,8,3,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1
광진구,중곡2동,13,4,3,-,-,-,1,-,-,-,-,-,-,1,2,1,-,1,-
광진구,중곡3동,8,3,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
광진구,중곡4동,20,9,6,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,1
광진구,능동,6,2,1,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
광진구,구의1동,17,7,2,-,-,1,1,-,-,1,-,-,-,2,1,-,1,-,1
광진구,구의2동,18,11,1,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-
광진구,구의3동,12,1,3,-,-,1,1,1,-,-,-,-,-,2,2,1,-,-,-
광진구,광장동,8,1,3,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1
광진구,자양1동,12,7,-,-,-,-,1,-,-,-,-,-,-,1,2,-,1,-,-
광진구,자양2동,15,3,3,1,-,1,-,-,-,-,-,-,-,2,2,1,1,-,1
광진구,자양3동,15,6,2,-,-,-,1,-,-,-,-,-,-,-,4,2,-,-,-
광진구,자양4동,30,10,3,-,-,-,-,-,-,-,1,2,-,2,2,1,4,-,5
동대문구,소계,223,48,36,-,-,11,3,-,1,2,4,11,3,15,16,10,17,2,44
동대문구,회기동,12,2,1,-,-,1,-,-,-,-,-,1,-,1,-,1,1,-,4
동대문구,휘경1동,9,4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1
동대문구,휘경2동,8,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,1
동대문구,청량리동,9,3,2,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-
동대문구,용신동,34,6,-,-,-,2,-,-,-,1,1,4,-,1,4,1,4,-,10
동대문구,제기동,24,7,2,-,-,1,1,-,1,-,-,-,-,1,5,-,-,-,6
동대문구,전농1동,18,3,4,-,-,-,-,-,-,-,1,1,1,1,1,2,2,-,2
동대문구,전농2동,8,1,2,-,-,-,1,-,-,-,-,-,-,1,-,1,1,-,1
동대문구,답십리1동,13,3,2,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,4
동대문구,답십리2동,10,1,3,-,-,-,1,-,-,-,1,-,-,-,1,2,-,-,1
동대문구,장안1동,25,1,10,-,-,1,-,-,-,-,1,2,1,1,1,1,4,-,2
동대문구,장안2동,22,3,6,-,-,3,-,-,-,1,-,2,-,-,1,-,-,-,6
동대문구,이문1동,22,9,2,-,-,1,-,-,-,-,-,-,1,4,1,-,1,-,3
동대문구,이문2동,9,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
중랑구,소계,175,51,32,-,-,4,4,2,1,-,2,9,3,17,6,11,15,4,14
중랑구,면목2동,15,7,4,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,1
중랑구,면목4동,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
중랑구,면목5동,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
중랑구,면목7동,8,2,2,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-
중랑구,상봉1동,11,1,5,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,1
중랑구,상봉2동,15,1,-,-,-,1,-,1,-,-,-,1,1,5,-,1,2,-,2
중랑구,중화1동,7,2,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-
중랑구,중화2동,25,8,4,-,-,-,1,-,-,-,1,1,1,1,-,2,5,-,1
중랑구,묵1동,13,6,3,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,2
중랑구,묵2동,5,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-
중랑구,망우3동,9,4,-,-,-,1,-,-,-,-,-,1,-,2,-,1,-,-,-
중랑구,신내1동,12,1,3,-,-,-,-,-,-,-,-,2,-,3,-,1,2,-,-
중랑구,신내2동,3,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
중랑구,면목본동,11,3,1,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,3
중랑구,면목3.8동,11,7,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-
중랑구,망우본동,25,6,5,-,-,-,-,1,-,-,-,2,-,2,1,1,3,2,2
성북구,소계,151,43,27,2,6,2,3,-,1,-,1,1,6,10,3,6,15,1,24
성북구,돈암1동,4,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1
